"","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","n_cycle","pc1"
"1",915238,"E02002344","E02002344",63,0,0,0,1,0,0,37,1,0,24,0,0,0.3,18.9,18.9
"2",915241,"E02002344","E02002347",68,0,0,0,3,3,1,38,10,1,12,0,1790.24264395089,0.209711745197733,14.2603986734458,13.2603986734458
"3",915243,"E02002344","E02002349",35,0,0,1,0,1,0,21,7,0,5,0,2212.90989133587,0.192712703389375,6.74494461862813,6.74494461862813
"4",915246,"E02002344","E02002352",95,0,0,0,8,0,1,55,8,2,21,0,1441.78664273211,0.224848118663876,21.3605712730682,19.3605712730682
"5",915247,"E02002344","E02002353",14,0,0,0,0,0,0,12,1,0,1,0,1595.92998454051,0.218022109582166,3.05230953415033,3.05230953415033
"6",915248,"E02002344","E02002354",45,0,0,0,1,0,0,35,1,1,7,0,2270.67738465662,0.190499010004195,8.57245545018876,7.57245545018876
"7",915251,"E02002344","E02002358",30,0,0,0,1,0,0,28,0,1,0,0,4776.7044110814,0.115404297387441,3.46212892162322,2.46212892162322
"8",915254,"E02002344","E02002361",39,0,0,0,2,1,0,34,1,0,1,0,2881.59168959273,0.168589056726406,6.57497321232985,6.57497321232985
"9",915256,"E02002344","E02002363",65,0,0,1,12,1,0,49,1,0,1,0,2933.73663680461,0.166839979639938,10.844598676596,10.844598676596
"10",915257,"E02002344","E02002364",27,0,0,0,3,0,0,20,2,0,1,1,4963.49283477577,0.111172595455758,3.00166007730546,3.00166007730546
"11",915258,"E02002344","E02002366",17,0,0,0,4,0,0,11,0,0,2,0,3676.75543769184,0.143801142039816,2.44461941467688,2.44461941467688
"12",915259,"E02002344","E02002367",11,0,0,0,0,0,1,10,0,0,0,0,3962.4798730804,0.135814026815895,1.49395429497485,1.49395429497485
"13",915261,"E02002344","E02002369",11,0,0,0,0,0,0,10,1,0,0,0,4774.53665932891,0.115454341808626,1.26999775989489,1.26999775989489
"14",915263,"E02002344","E02002371",39,0,0,0,6,0,0,29,4,0,0,0,3957.76076463978,0.135942271550516,5.30174859047014,5.30174859047014
"15",915267,"E02002344","E02002376",4,0,0,0,0,0,0,4,0,0,0,0,4641.69702548504,0.118562834567718,0.474251338270871,0.474251338270871
"16",915268,"E02002344","E02002377",14,0,0,0,1,0,0,10,2,0,1,0,4337.78414108687,0.125992911374813,1.76390075924738,1.76390075924738
"17",915269,"E02002344","E02002379",9,0,0,0,1,0,0,6,2,0,0,0,5972.91606887023,0.0908490429947723,0.817641386952951,0.817641386952951
"18",915272,"E02002344","E02002382",10,0,0,0,1,0,0,9,0,0,0,0,4878.44004599563,0.113079879302055,1.13079879302055,1.13079879302055
"19",915274,"E02002344","E02002384",46,0,0,0,8,0,2,31,5,0,0,0,5154.57022991312,0.107004236664522,4.92219488656801,4.92219488656801
"20",915279,"E02002344","E02002389",6,0,0,0,0,0,0,5,0,0,1,0,5600.13059716959,0.0978813817472406,0.587288290483443,0.587288290483443
"21",915280,"E02002344","E02002390",29,0,0,0,1,0,0,19,3,1,4,1,6520.29435337053,0.0814283590801374,2.36142241332398,1.36142241332398
"22",915283,"E02002344","E02002393",125,0,0,0,19,0,1,98,3,4,0,0,5534.52145366497,0.0991742281758283,12.3967785219785,8.39677852197854
"23",915284,"E02002344","E02002394",18,0,0,0,2,0,0,14,2,0,0,0,5786.89720784489,0.0942926301251343,1.69726734225242,1.69726734225242
"24",915294,"E02002344","E02002404",24,0,0,0,2,1,0,21,0,0,0,0,6909.51586490449,0.0753300632650005,1.80792151836001,1.80792151836001
"25",915461,"E02002344","E02006861",39,0,0,0,1,0,0,34,3,0,1,0,4823.18010960792,0.114336568353505,4.45912616578671,4.45912616578671
"26",916179,"E02002347","E02002344",19,0,0,0,1,1,0,10,1,0,6,0,1790.24264395089,0.209711745197733,3.98452315875692,3.98452315875692
"27",916182,"E02002347","E02002347",187,0,0,0,10,3,0,46,5,2,121,0,0,0.3,56.1,54.1
"28",916184,"E02002347","E02002349",15,0,0,0,1,0,0,6,6,1,1,0,3602.01171005291,0.145966936341263,2.18950404511895,1.18950404511895
"29",916187,"E02002347","E02002352",59,0,0,3,6,4,0,28,4,2,12,0,1553.55407529706,0.219877738898586,12.9727865950166,10.9727865950166
